"GEO","TIME","AGE","SEX","NACE_R2","UNIT","Value"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Crop and animal production, hunting and related service activities","Thousand","9,426.9"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Forestry and logging","Thousand","522.3"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Fishing and aquaculture","Thousand","203.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Mining of coal and lignite","Thousand","308.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Extraction of crude petroleum and natural gas","Thousand","100.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Mining of metal ores","Thousand","68.4"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Other mining and quarrying","Thousand","274.4"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Mining support service activities","Thousand","128.0"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of food products","Thousand","4,502.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of beverages","Thousand","490.7"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of tobacco products","Thousand","58.5"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of textiles","Thousand","964.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of wearing apparel","Thousand","1,740.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of leather and related products","Thousand","596.3"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Thousand","1,388.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of paper and paper products","Thousand","748.0"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Printing and reproduction of recorded media","Thousand","1,152.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of coke and refined petroleum products","Thousand","243.0"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of chemicals and chemical products","Thousand","1,456.7"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of basic pharmaceutical products and pharmaceutical preparations","Thousand","798.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of rubber and plastic products","Thousand","1,702.4"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of other non-metallic mineral products","Thousand","1,623.7"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of basic metals","Thousand","1,431.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of fabricated metal products, except machinery and equipment","Thousand","4,226.3"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of computer, electronic and optical products","Thousand","1,698.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of electrical equipment","Thousand","1,589.1"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of machinery and equipment n.e.c.","Thousand","3,302.0"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of motor vehicles, trailers and semi-trailers","Thousand","3,121.5"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of other transport equipment","Thousand","1,084.5"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Manufacture of furniture","Thousand","1,518.4"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Other manufacturing","Thousand","1,169.3"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Repair and installation of machinery and equipment","Thousand","1,104.1"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Electricity, gas, steam and air conditioning supply","Thousand","1,487.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Water collection, treatment and supply","Thousand","471.6"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Sewerage","Thousand","165.6"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Waste collection, treatment and disposal activities; materials recovery","Thousand","874.5"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Remediation activities and other waste management services","Thousand","57.7"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Construction of buildings","Thousand","6,097.9"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Civil engineering","Thousand","1,405.5"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Specialised construction activities","Thousand","10,774.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Wholesale and retail trade and repair of motor vehicles and motorcycles","Thousand","4,158.0"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Wholesale trade, except of motor vehicles and motorcycles","Thousand","7,682.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Retail trade, except of motor vehicles and motorcycles","Thousand","19,053.0"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Land transport and transport via pipelines","Thousand","5,987.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Water transport","Thousand","291.6"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Air transport","Thousand","424.0"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Warehousing and support activities for transportation","Thousand","2,718.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Postal and courier activities","Thousand","1,939.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Air transport; accommodation; travel agency, tour operator reservation service and related activities","Thousand","2,104.9"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Food and beverage service activities","Thousand","6,942.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Publishing activities","Thousand","1,229.9"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Motion picture, video and television programme production, sound recording and music publishing activities","Thousand","441.5"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Programming and broadcasting activities","Thousand","292.5"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Telecommunications","Thousand","1,452.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Computer programming, consultancy and related activities","Thousand","2,396.9"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Information service activities","Thousand","322.9"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Financial service activities, except insurance and pension funding","Thousand","4,084.4"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Insurance, reinsurance and pension funding, except compulsory social security","Thousand","1,165.7"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Activities auxiliary to financial services and insurance activities","Thousand","1,270.7"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Real estate activities","Thousand","1,615.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Legal and accounting activities","Thousand","3,548.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Activities of head offices; management consultancy activities","Thousand","1,047.4"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Architectural and engineering activities; technical testing and analysis","Thousand","2,649.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Scientific research and development","Thousand","814.3"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Advertising and market research","Thousand","1,019.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Other professional, scientific and technical activities","Thousand","879.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Veterinary activities","Thousand","211.3"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Rental and leasing activities","Thousand","440.7"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Employment activities","Thousand","1,001.0"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Travel agency, tour operator and other reservation service and related activities","Thousand","590.9"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Security and investigation activities","Thousand","1,228.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Services to buildings and landscape activities","Thousand","3,250.1"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Office administrative, office support and other business support activities","Thousand","1,338.3"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Public administration and defence; compulsory social security","Thousand","15,388.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Education","Thousand","15,360.3"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Human health activities","Thousand","12,338.4"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Residential care activities","Thousand","3,817.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Social work activities without accommodation","Thousand","4,440.0"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Creative, arts and entertainment activities","Thousand","988.6"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Libraries, archives, museums and other cultural activities","Thousand","577.3"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Gambling and betting activities","Thousand","344.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Sports activities and amusement and recreation activities","Thousand","1,378.3"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Activities of membership organisations","Thousand","1,651.1"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Repair of computers and personal and household goods","Thousand","526.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Other personal service activities","Thousand","3,061.1"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Activities of households as employers of domestic personnel","Thousand","2,436.3"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Undifferentiated goods- and services-producing activities of private households for own use","Thousand",":"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Activities of extraterritorial organisations and bodies","Thousand","186.6"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","No response","Thousand","648.7"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Total","Unknown NACE activity","Thousand",":"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Crop and animal production, hunting and related service activities","Thousand","5,688.6"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Forestry and logging","Thousand","450.6"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Fishing and aquaculture","Thousand","176.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Mining of coal and lignite","Thousand","273.4"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Extraction of crude petroleum and natural gas","Thousand","88.1"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Mining of metal ores","Thousand","56.0"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Other mining and quarrying","Thousand","237.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Mining support service activities","Thousand","102.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Manufacture of food products","Thousand","2,466.1"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Manufacture of beverages","Thousand","344.5"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Manufacture of tobacco products","Thousand",":"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Manufacture of textiles","Thousand","449.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Manufacture of wearing apparel","Thousand","318.2"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Manufacture of leather and related products","Thousand","262.9"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Thousand","1,159.3"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Manufacture of paper and paper products","Thousand","542.8"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Printing and reproduction of recorded media","Thousand","771.0"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Manufacture of coke and refined petroleum products","Thousand","190.6"
"European Union - 28 countries","2008Q1","From 15 to 64 years","Males","Manufacture of chemicals and chemical products","Thousand","1,019.0"
